STN,YYYYMMDD,TG,TN,TX
  249,20010329,   67,   45,  106
  249,20010330,   60,   10,   98
  249,20010331,   89,   26,  125
  249,20010401,  108,   74,  138
  249,20010402,  130,   74,  202
  249,20010403,  104,   71,  155
  249,20010404,   88,   55,  111
  249,20010405,   77,   56,  109
  249,20010406,  105,   89,  123
  249,20010407,   81,   30,  111
  249,20010408,   55,   10,   92
  249,20010409,   79,   45,   97
  249,20010410,   85,   72,  115
  249,20010411,   76,   22,  114
  249,20010412,   39,   -1,   86
  249,20010413,   34,  -28,   75
  249,20010414,   21,  -41,   84
  249,20010415,   73,   49,   93
  249,20010416,   67,   49,   97
  249,20010417,   59,   32,   79
  249,20010418,   45,    5,   82
  249,20010419,   35,    2,   78
  249,20010420,   35,   -7,   74
  249,20010421,   51,   -6,  104
  249,20010422,   57,  -26,  112
  249,20010423,   85,   50,  129
  249,20010424,  101,   49,  148
  249,20010425,   92,   55,  134
  249,20010426,   98,   85,  124
  249,20010427,   99,   76,  128
  249,20010428,  101,   85,  126
  249,20010429,  109,   44,  157
  249,20010430,  117,   88,  163
  249,20010501,   97,   69,  124
  249,20010502,  121,   58,  185
  249,20010503,  104,   72,  156
  249,20010504,   79,   56,  108
  249,20010505,   75,   44,  103
  249,20010506,  101,   53,  143
  249,20010507,   98,   44,  151
  249,20010508,   94,   19,  149
  249,20010509,  151,   80,  217
  249,20010510,  174,  103,  248
  249,20010511,  166,   91,  242
  249,20010512,  170,   87,  241
  249,20010513,  176,  120,  240
  249,20010514,  155,  112,  198
  249,20010515,  125,  105,  161
  249,20010516,  131,  109,  161
  249,20010517,  115,   88,  160
  249,20010518,  110,   85,  131
  249,20010519,  110,   65,  156
  249,20010520,  112,   45,  175
  249,20010521,  111,   34,  164
  249,20010522,  127,   47,  190
  249,20010523,  150,   60,  219
  249,20010524,  142,   85,  199
  249,20010525,  135,   57,  201
  249,20010526,  157,   90,  212
  249,20010527,  143,  116,  159
  249,20010528,  162,  147,  196
  249,20010529,  154,  109,  190
  249,20010530,  156,   91,  214
  249,20010531,  128,   92,  158
  249,20010601,  120,   68,  164
  249,20010602,  112,   74,  140
  249,20010603,   95,   50,  123
  249,20010604,  118,   50,  154
  249,20010605,  147,   99,  191
  249,20010606,  152,  109,  199
  249,20010607,  125,   81,  153
  249,20010608,  104,   51,  147
  249,20010609,  111,   38,  159
  249,20010610,  124,   78,  165
  249,20010611,  121,   63,  151
  249,20010612,  135,   82,  173
  249,20010613,  127,   75,  171
  249,20010614,  142,   52,  194
  249,20010615,  162,  136,  204
  249,20010616,  162,  120,  202
  249,20010617,  154,  133,  189
  249,20010618,  124,   75,  143
  249,20010619,  131,   54,  186
  249,20010620,  163,   99,  211
  249,20010621,  135,  102,  171
  249,20010622,  134,  108,  160
  249,20010623,  139,   79,  184
  249,20010624,  171,  112,  228
  249,20010625,  170,   90,  232
  249,20010626,  203,  135,  257
  249,20010627,  184,  160,  217
  249,20010628,  178,  148,  211
  249,20010629,  191,  149,  233
  249,20010630,  183,  142,  221
  249,20010701,  172,  128,  205
  249,20010702,  187,  128,  229
  249,20010703,  204,  138,  241
  249,20010704,  224,  179,  266
  249,20010705,  248,  199,  300
  249,20010706,  234,  192,  293
  249,20010707,  201,  177,  239
  249,20010708,  185,  166,  213
  249,20010709,  172,  143,  205
  249,20010710,  179,  148,  231
  249,20010711,  166,  131,  191
  249,20010712,  159,  110,  197
  249,20010713,  157,  116,  197
  249,20010714,  145,  107,  186
  249,20010715,  148,   97,  199
  249,20010716,  145,   81,  199
  249,20010717,  160,   71,  216
  249,20010718,  159,  143,  185
  249,20010719,  152,  130,  187
  249,20010720,  141,  100,  172
  249,20010721,  157,  105,  182
  249,20010722,  182,  137,  217
  249,20010723,  174,  116,  226
  249,20010724,  179,  117,  234
  249,20010725,  178,  110,  230
  249,20010726,  206,  147,  255
  249,20010727,  204,  150,  258
  249,20010728,  191,  133,  242
  249,20010729,  202,  125,  264
  249,20010730,  204,  156,  243
  249,20010731,  191,  141,  239
